id,salary_in_usd
0,66691.13133803527
1,60979.790276740154
2,60979.790276740154
3,70420.32591565464
4,54580.09503184389
5,80220.3325497776
6,117941.24755024453
7,86500.89927469204
8,34628.50171796664
9,92175.29645298944
10,39949.113980716196
11,92175.29645298944
12,90767.53478378423
13,54851.65805784259
14,61812.43308200915
15,65641.66034835718
16,110752.44428905778
17,60979.790276740154
18,76749.83321534739
19,54603.60419241902
20,54580.09503184389
21,86500.89927469204
22,93245.32976525449
23,74414.07826776526
24,18094.177960356094
25,29917.76365683458
26,61122.26611916784
27,92175.29645298944
28,25463.119154103464
29,50745.67772902247
30,22650.300879340517
31,71155.28124400682
32,74085.8862496779
33,52957.235718544456
34,50155.42049844768
35,84506.06164072514
36,55839.74712359307
37,67968.65065021165
38,50155.42049844768
39,92175.29645298944
40,34658.5197100532
41,63598.82446645875
42,60979.790276740154
43,92175.29645298944
44,61122.26611916784
45,71155.28124400682
46,36411.27370002363
47,90867.54130811027
48,71155.28124400682
49,18075.131642110486
50,71155.28124400682
51,84425.9251544816
52,36411.27370002363
53,36411.27370002363
54,36411.27370002363
55,90767.53478378423
56,74414.07826776526
57,37207.453119817634
58,74414.07826776526
59,74414.07826776526
60,74414.07826776526
61,37207.453119817634
62,74414.07826776526
63,74414.07826776526
64,55839.74712359307
65,74414.07826776526
66,74414.07826776526
67,74414.07826776526
68,74414.07826776526
69,75806.56243821303
70,62425.79721494451
71,92175.29645298944
72,52396.759862878425
73,90767.53478378423
74,110752.44428905778
75,36411.27370002363
76,90767.53478378423
77,90767.53478378423
78,23083.580085057958
79,80704.50488720248
80,56524.10794822852
81,54580.09503184389
82,71155.28124400682
83,91682.31496110698
84,36411.27370002363
85,90767.53478378423
86,90767.53478378423
87,74414.07826776526
88,74414.07826776526
89,40706.509016007105
90,67968.65065021165
91,45058.75091487739
92,92755.73039080805
93,71738.46767806208
94,74414.07826776526
95,79636.60449527735
96,34658.5197100532
97,84506.06164072514
98,84506.06164072514
99,55839.74712359307
100,74414.07826776526
101,74414.07826776526
102,74414.07826776526
103,74414.07826776526
104,74414.07826776526
105,90867.54130811027
106,74414.07826776526
